Locale Elaborazione Differenziale Dal Basso
Tubo: vds-4bis
Localita: imbocco
Misura di Riferimento N.ro: 000
Data Misura di Riferimento: 02/07/2012

Misura N.ro: 046
Data Misura: 07/05/2018
N.ro Letture: 97
Prof.[m]    Risultante[mm]  Azimut[gradi]
   0,60            1,14          73,20
   1,20            1,08         143,97
   1,80            1,29         165,38
   2,40            1,35         184,55
   3,00            0,70         190,19
   3,60            0,48         334,47
   4,20            0,73         272,51
   4,80            0,72         213,07
   5,40            1,98         172,60
   6,00            0,88          26,93
   6,60            0,08         176,87
   7,20            0,11         131,87
   7,80            0,63         180,16
   8,40            0,66         197,03
   9,00            0,27         130,54
   9,60            0,57          68,43
  10,20            0,63         232,73
  10,80            1,28         212,20
  11,40            1,29         138,00
  12,00            0,19         305,96
  12,60            1,18          62,45
  13,20            0,90          85,54
  13,80            0,46          85,75
  14,40            0,27           2,71
  15,00            1,75         249,52
  15,60            1,29         237,37
  16,20            0,34         240,30
  16,80            0,41          60,49
  17,40            0,59         177,75
  18,00            0,17         109,04
  18,60            0,58         208,75
  19,20            0,93         203,02
  19,80            1,47         185,41
  20,40            1,10         143,14
  21,00            0,37         203,44
  21,60            0,41         127,47
  22,20            0,52         199,04
  22,80            0,34         291,19
  23,40            0,43         190,71
  24,00            1,00          95,00
  24,60            0,68          87,88
  25,20            0,84         220,71
  25,80            0,27         182,71
  26,40            0,27         123,61
  27,00            0,46         206,80
  27,60            0,14         152,53
  28,20            0,23         222,41
  28,80            0,47         179,81
  29,40            0,52         260,96
  30,00            0,59         162,62
  30,60            0,17          19,04
  31,20            1,07          57,22
  31,80            0,34         209,14
  32,40            6,82         238,86
  33,00            9,95         250,57
  33,60            5,24         261,41
  34,20            2,23         272,82
  34,80            1,10         253,40
  35,40            0,44         166,57
  36,00            1,25          95,00
  36,60            1,18         128,26
  37,20            1,05         144,90
  37,80            0,69         223,80
  38,40            0,83         216,46
  39,00            0,25         122,65
  39,60            0,21         242,09
  40,20            1,07         234,83
  40,80            0,93         232,77
  41,40            1,49         285,67
  42,00            0,82         287,77
  42,60            0,65         289,27
  43,20            0,80         144,32
  43,80            1,19         165,28
  44,40            0,63         208,96
  45,00            0,91         193,69
  45,60            0,60          99,09
  46,20            1,20         112,47
  46,80            1,54         126,50
  47,40            2,13         211,05
  48,00            4,08         207,30
  48,60           11,70         209,59
  49,20            5,92         239,03
  49,80            3,41          45,72
  50,40            1,50          63,90
  51,00            2,08         189,98
  51,60            1,05         239,06
  52,20            0,45         243,57
  52,80            0,85         180,71
  53,40            1,33         255,99
  54,00            0,46          96,33
  54,60            0,42          64,53
  55,20            0,15         331,31
  55,80            0,43         344,77
  56,40            0,40         152,99
  57,00            0,38         250,56
  57,60            0,36         181,63
  58,20            0,00           0,00

Misura N.ro: 047
Data Misura: 02/07/2018
N.ro Letture: 97
Prof.[m]    Risultante[mm]  Azimut[gradi]
   0,60            1,11          76,57
   1,20            0,87         158,12
   1,80            1,29         169,25
   2,40            1,44         163,36
   3,00            0,92         210,97
   3,60            0,68         334,04
   4,20            0,21         289,74
   4,80            0,79         201,48
   5,40            1,97         161,48
   6,00            1,04          38,37
   6,60            0,44         141,98
   7,20            0,33         179,47
   7,80            0,49         159,54
   8,40            0,40         192,70
   9,00            0,69         101,15
   9,60            0,59         123,86
  10,20            0,69         234,97
  10,80            1,33         216,28
  11,40            1,14         119,18
  12,00            0,20         271,99
  12,60            1,01          70,85
  13,20            1,08          97,25
  13,80            0,56          64,04
  14,40            0,50         350,38
  15,00            1,72         240,04
  15,60            1,07         234,03
  16,20            0,29         233,01
  16,80            0,41          37,47
  17,40            0,79         178,83
  18,00            0,15         176,87
  18,60            0,42         208,96
  19,20            1,01         206,47
  19,80            1,35         188,16
  20,40            1,37         135,60
  21,00            0,60         252,07
  21,60            0,51         145,04
  22,20            0,67         209,15
  22,80            0,19         281,34
  23,40            0,08         151,31
  24,00            1,33         108,82
  24,60            0,23         100,19
  25,20            0,87         214,05
  25,80            0,42         154,53
  26,40            0,00           0,00
  27,00            0,51         231,68
  27,60            0,52         199,04
  28,20            0,65         215,32
  28,80            0,60         224,29
  29,40            0,72         254,44
  30,00            0,70         156,11
  30,60            0,41         309,51
  31,20            1,01          60,30
  31,80            0,51         218,02
  32,40            6,49         240,25
  33,00            9,82         250,57
  33,60            5,26         261,24
  34,20            2,43         268,99
  34,80            1,14         246,77
  35,40            0,72         168,71
  36,00            1,27          95,00
  36,60            1,05         120,02
  37,20            1,37         157,24
  37,80            0,74         195,67
  38,40            0,75         199,83
  39,00            0,73         120,82
  39,60            0,32         114,65
  40,20            0,93         218,87
  40,80            1,00         222,24
  41,40            1,83         289,44
  42,00            0,78         287,53
  42,60            0,98         268,80
  43,20            0,71         141,22
  43,80            1,14         163,20
  44,40            0,40         240,89
  45,00            1,27         191,23
  45,60            0,88          97,07
  46,20            1,27         109,50
  46,80            1,47         122,12
  47,40            2,31         221,40
  48,00            3,81         205,56
  48,60           11,84         209,68
  49,20            5,83         240,67
  49,80            3,59          46,41
  50,40            1,33          72,52
  51,00            2,07         184,12
  51,60            1,25         236,19
  52,20            0,31         269,09
  52,80            1,17         171,85
  53,40            1,21         263,89
  54,00            0,53          51,64
  54,60            0,39          72,62
  55,20            0,07         113,43
  55,80            0,71         358,09
  56,40            0,44         166,56
  57,00            0,56         245,52
  57,60            0,08         308,70
  58,20            0,00           0,00

Misura N.ro: 048
Data Misura: 22/10/2018
N.ro Letture: 97
Prof.[m]    Risultante[mm]  Azimut[gradi]
   0,60            0,79          41,25
   1,20            0,57         113,43
   1,80            1,05         144,09
   2,40            1,32         140,65
   3,00            0,54          25,56
   3,60            0,67           5,91
   4,20            0,18         300,02
   4,80            0,92         211,86
   5,40            2,15         193,53
   6,00            1,34          46,14
   6,60            0,48          96,27
   7,20            0,25         177,57
   7,80            0,47         213,30
   8,40            1,00         172,74
   9,00            0,59         167,22
   9,60            0,57         135,49
  10,20            0,27         143,18
  10,80            0,83         237,25
  11,40            1,65         221,65
  12,00            0,94         256,56
  12,60            0,57          71,80
  13,20            1,04          90,33
  13,80            0,91          96,33
  14,40            1,10         118,34
  15,00            1,68         237,70
  15,60            1,02         235,04
  16,20            0,38         246,26
  16,80            0,33         237,77
  17,40            0,50         204,98
  18,00            0,30         172,90
  18,60            0,36         188,37
  19,20            0,61         209,77
  19,80            0,68         199,47
  20,40            0,83         187,94
  21,00            0,27         166,56
  21,60            0,20         166,56
  22,20            0,31         186,98
  22,80            0,44         206,04
  23,40            0,23         230,00
  24,00            0,21         225,92
  24,60            0,30         163,96
  25,20            0,41         150,49
  25,80            0,56         214,48
  26,40            0,42         207,07
  27,00            0,29         208,75
  27,60            0,11         206,80
  28,20            0,23         226,19
  28,80            0,23         190,20
  29,40            0,49         215,96
  30,00            0,57         217,80
  30,60            0,21         208,96
  31,20            0,93          64,04
  31,80            0,40         120,20
  32,40            4,65         236,12
  33,00           10,65         249,25
